device_id,category,brand,model,rating,review_count,specs,label
15124,door_window_sensor,,unknown,4.0,9,"{""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": [""digma"", ""tuya""], ""battery_type"": ""AAA"", ""battery_quantity"": 2}",
14983,door_window_sensor,tuya,unknown,4.5,16,"{""protocol"": null, ""ecosystem"": [""tuya""]}",
14751,door_window_sensor,roximo,SZD08,4.6,87,"{""protocol"": [""zigbee""], ""ecosystem"": [""google"", ""yandex""], ""battery_type"": ""CR2032"", ""battery_quantity"": 1}",
14783,door_window_sensor,yandex,YNDX-00526,4.72,25,"{""protocol"": [""zigbee""], ""ecosystem"": [""yandex""], ""battery_type"": ""CR1632"", ""battery_quantity"": 2}",
15114,door_window_sensor,digma,unknown,4.9,13,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya"", ""yandex""], ""battery_type"": ""AAA"", ""battery_quantity"": 2}",
14699,door_window_sensor,триколор,GS SMH-ZW-I1,5.0,8,"{""protocol"": [""zigbee""], ""ecosystem"": null, ""battery_type"": ""AAA"", ""battery_quantity"": 2}",
15091,gas_leak_sensor,триколор,GS SGMHM-I1,3.75,14,"{""protocol"": [""zigbee""], ""ecosystem"": [""sber"", ""yandex""], ""battery_type"": ""CR1632"", ""detected_gas"": [""natural_gas""], ""power_source"": [""battery"", ""mains""], ""has_audio_alert"": true, ""audio_alert_volume_db"": 75}",
15105,gas_leak_sensor,armacontrol,GasCon-11-CO,4.5,8,"{""protocol"": null, ""ecosystem"": null, ""battery_type"": ""AA"", ""detected_gas"": null, ""power_source"": [""battery""], ""has_audio_alert"": true, ""audio_alert_volume_db"": 85}",
15258,gas_leak_sensor,,unknown,4.7,42,"{""protocol"": null, ""ecosystem"": null, ""battery_type"": ""AAA"", ""detected_gas"": null, ""power_source"": [""battery""], ""has_audio_alert"": true}",
14690,gas_leak_sensor,,unknown,4.8,632,"{""protocol"": null, ""ecosystem"": null, ""detected_gas"": null, ""power_source"": [""battery""], ""has_audio_alert"": true}",
14590,gas_leak_sensor,технозащита,435-23Т,4.8,6,"{""protocol"": null, ""ecosystem"": null, ""ip_rating"": ""IP40"", ""battery_type"": ""18650"", ""detected_gas"": null, ""power_source"": [""battery"", ""rechargeable_battery""], ""has_audio_alert"": true}",
14878,gas_leak_sensor,саргазком,СГК-1-Б-1CH-DN25,5.0,7,"{""protocol"": null, ""ecosystem"": null, ""detected_gas"": [""natural_gas""], ""power_source"": [""ac_dc_adapter"", ""mains""], ""has_audio_alert"": true}",
14574,motion_sensor,sls,unknown,3.5,8,"{""protocol"": [""zigbee""], ""ecosystem"": [""sber"", ""vk"", ""yandex""], ""battery_type"": ""CR123A"", ""detection_range_m"": 8, ""detection_angle_deg"": 90}",
15153,motion_sensor,shopping-house,P2,4.3,51,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""sensor_type"": ""pir"", ""battery_type"": ""AAA"", ""battery_quantity"": 3, ""detection_range_m"": 5, ""detection_angle_deg"": 120}",
14765,motion_sensor,hommyn,MBS30ZB,4.6,23,"{""protocol"": [""zigbee""], ""ecosystem"": [""yandex""], ""sensor_type"": ""pir"", ""battery_type"": ""CR123A"", ""battery_quantity"": 1, ""has_light_sensor"": true, ""detection_range_m"": 7, ""battery_life_months"": 12, ""detection_angle_deg"": 120}",
14767,motion_sensor,tuya,ZG-205Z/C,4.7,17,"{""protocol"": [""wifi"", ""zigbee""], ""ecosystem"": [""tuya""], ""sensor_type"": ""radar"", ""has_light_sensor"": true, ""detection_range_m"": 9.5}",
15182,motion_sensor,ekf,unknown,4.8,13,"{""protocol"": [""wifi"", ""zigbee""], ""ecosystem"": null, ""has_light_sensor"": true}",
14647,motion_sensor,bpl,М015-01,5.0,7,"{""protocol"": null, ""ecosystem"": null, ""ip_rating"": ""IP20"", ""sensor_type"": ""pir"", ""has_light_sensor"": true, ""detection_range_m"": 6, ""detection_angle_deg"": 360}",
14656,smart_camera,appix,unknown,4.1,11,"{""protocol"": [""wifi""], ""ecosystem"": null, ""resolution"": ""1080p"", ""power_source"": [""ac_dc_adapter"", ""mains""], ""indoor_outdoor"": ""both"", ""has_night_vision"": true, ""has_motion_detection"": true}",
14920,smart_camera,twilot,unknown,4.6,24,"{""ptz"": true, ""protocol"": [""wifi""], ""ecosystem"": null, ""resolution"": ""2K"", ""power_source"": [""ac_dc_adapter""], ""cloud_storage"": true, ""local_storage"": true, ""indoor_outdoor"": ""indoor"", ""has_night_vision"": true, ""field_of_view_deg"": 355, ""has_two_way_audio"": true, ""has_motion_detection"": true}",
15083,smart_camera,twilot,unknown,4.7,262,"{""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": null, ""resolution"": ""1080p"", ""power_source"": [""ac_dc_adapter"", ""mains""], ""local_storage"": true, ""indoor_outdoor"": ""indoor"", ""has_night_vision"": true, ""field_of_view_deg"": 330, ""has_two_way_audio"": true, ""has_motion_detection"": true}",
14870,smart_camera,gringo-shop,unknown,4.8,166,"{""protocol"": [""wifi""], ""ecosystem"": null, ""resolution"": ""1080p"", ""power_source"": null, ""cloud_storage"": true, ""local_storage"": true, ""indoor_outdoor"": ""both"", ""has_two_way_audio"": true, ""has_motion_detection"": true}",
15125,smart_camera,appix,unknown,4.9,171,"{""protocol"": [""wifi""], ""ecosystem"": null, ""resolution"": ""1080p"", ""power_source"": [""battery""], ""local_storage"": true, ""indoor_outdoor"": ""outdoor"", ""has_night_vision"": true, ""field_of_view_deg"": 360, ""has_two_way_audio"": true, ""has_motion_detection"": true}",
14660,smart_camera,умный-контроль,unknown,5.0,9,"{""ptz"": true, ""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": [""tuya"", ""yandex""], ""resolution"": ""2K"", ""power_source"": [""ac_dc_adapter"", ""mains""], ""local_storage"": true, ""indoor_outdoor"": ""both"", ""has_night_vision"": true, ""field_of_view_deg"": 355, ""has_two_way_audio"": true, ""has_motion_detection"": true}",
14622,smart_doorbell,tuya,unknown,4.4,9,"{""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": [""apple"", ""tuya""], ""has_camera"": true, ""resolution"": ""2K"", ""power_source"": [""usb""], ""local_storage"": true, ""has_two_way_audio"": true, ""has_motion_detection"": true}",
14580,smart_doorbell,yandex,YNDX-00524,4.69,77,"{""protocol"": [""zigbee""], ""ecosystem"": [""yandex""], ""power_source"": [""battery""]}",
14977,smart_doorbell,tantos,Total Control,4.7,640,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""has_camera"": true, ""resolution"": ""1080p"", ""power_source"": [""mains""], ""local_storage"": true, ""has_night_vision"": true, ""has_motion_detection"": true}",
14852,smart_doorbell,aqara,SVD-KIT1,4.87,18,"{""protocol"": [""wifi""], ""ecosystem"": [""aqara""], ""has_camera"": true, ""resolution"": ""1080p"", ""battery_type"": ""AA"", ""power_source"": [""ac_dc_adapter"", ""battery"", ""mains"", ""rechargeable_battery"", ""usb""], ""local_storage"": true, ""battery_quantity"": 6, ""has_night_vision"": true, ""has_two_way_audio"": true, ""battery_life_months"": 4, ""has_motion_detection"": true}",
14707,smart_doorbell,tuya,IP1602MPOE,5.0,6,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""ip_rating"": ""IP67"", ""has_camera"": true, ""resolution"": ""1080p"", ""power_source"": [""ac_dc_adapter"", ""poe""], ""local_storage"": true, ""has_night_vision"": true, ""has_two_way_audio"": true}",
15031,smart_hub,moes,unknown,3.8,8,"{""protocol"": [""matter-over-thread"", ""zigbee""], ""ecosystem"": null, ""power_source"": null, ""wired_connection"": null}",
14969,smart_hub,hommyn,Hub HH-01,4.6,84,"{""protocol"": [""bluetooth"", ""wifi"", ""zigbee"", ""matter-over-wifi""], ""ecosystem"": [""vk"", ""yandex""], ""power_source"": [""ac_dc_adapter"", ""mains"", ""usb""], ""wired_connection"": null, ""has_local_processing"": true}",
14831,smart_hub,netgim,unknown,4.8,43,"{""protocol"": [""wifi"", ""zigbee"", ""matter-over-wifi""], ""ecosystem"": [""google"", ""yandex""], ""power_source"": [""ac_dc_adapter"", ""mains"", ""usb""], ""zigbee_version"": ""zigbee_3.0"", ""wired_connection"": null, ""max_connected_devices"": 50}",
